Section,Class,HSGPA,UPSGPA,SATM,SATR,SATW,ACT,Gender,Height,ShoeSz,HSState,PublPrivic,BirthMonth,Handedness,Units,Shower,Sleep,Work,Study,Exercise,ComputerHrs,VarAthlete,FinAid,TxtbkAmt,TxtbkPerc,Diet,Coffee,Computer,Phone,States,Siblings,NumShoes,AgeElderParent,AgeYoungerParent,Salary,Major
D,FirstYear,3.7,3.2,670,630,,,Male,71,11.5,Washington,Public,October,Left,3,5,4,15,5,12,3,No,Yes,70,100,NoPref,No,PC,Android,7,3,7,46,42,75000,Science
F,FirstYear,3.96,3.59,,,,,Male,74,15,Oregon,Public,February,Right,4,10,7,5,8,12,10,Yes,Yes,140,100,NoPref,No,PC,Android,4,1,11,53,42,35000,UND
A,FirstYear,3.88,3.92,,,,,Female,66,7.5,Texas,Public,December,Left,4,20,7,8,6,1,7,No,Yes,300,60,NoPref,Yes,PC,iPhone,20,1,8,55,53,70000,Fine Arts
A,FirstYear,3.4,2.7,600,,,,Male,70,10,Colorado,Public,February,Right,4,7,7,0,10,8,10,Yes,Yes,45,100,NoPref,No,PC,iPhone,7,1,8,45,42,80000,Science
,FirstYear,3.6,2.7,,,,,Male,75,12,California,Public,March,Right,4,15,6,0,4,1,4,No,Yes,200,100,NoPref,No,Mac,iPhone,7,1,3,64,57,50000,UND
E,FirstYear,4,4,600,600,600,,Female,65,8,Utah,Public,October,Right,4.75,25,8,10,20,3,25,No,Yes,95,75,Veg,No,Mac,iPhone,25,1,15,52,52,,Science
B,FirstYear,3.2,2.8,,,,,Male,76,13,Washington,Public,October,Right,4.5,10,11,,,,,Yes,No,90,35,,No,Mac,iPhone,22,1,24,53,52,90,Business
B,FirstYear,3.9,2.9,,,,,Female,66,7,California,Public,November,Right,4.5,50,8,7,15,0,20,No,Yes,0,100,Veg,No,Mac,iPhone,4,1,12,50,49,500000,Business
B,FirstYear,4,,770,760,,,Male,78,12,Colorado,Public,June,Right,4,10,7,0,12,8,5,No,Yes,200,100,NoPref,Yes,Mac,iPhone,20,1,8,52,50,75000,Business
B,FirstYear,4,3.7,,,,32,Male,75,11,Oklahoma,Public,July,Right,4,10,7,0,10,8,8,Yes,Yes,87,50,NoPref,No,PC,iPhone,34,4,8,48,48,100000,Business
B,FirstYear,3.7,3.5,670,590,,,Male,73,11,Washington,Public,June,Right,4,5,7,0,30,35,20,Yes,Yes,350,100,NoPref,Yes,Mac,iPhone,15,1,8,58,56,75000,Business
B,FirstYear,4,3.83,,,,20,Female,69,9,Colorado,Public,November,Right,4,15,9,0,5,15,4,Yes,Yes,85,95,,No,Mac,iPhone,,1,14,52,49,,SocSci
F,FirstYear,4,3.92,,,,,Female,56,8.5,California,Public,October,Right,4.5,15,9,0,25,18,4,Yes,Yes,60,100,Veg,No,Mac,iPhone,4,2,7,47,45,,Science
,FirstYear,3.89,3.68,,,,,Female,67,8.5,Oregon,Public,January,Right,4.75,10,6,8,12,12,5,Yes,Yes,167,100,NoPref,Yes,Other,iPhone,7,3,30,57,57,25000,Business
F,FirstYear,3.5,3.3,,,,,Female,68,9,Washington,Public,December,Right,4,15,7,8,5,1,3,No,Yes,20,100,NoPref,No,PC,iPhone,3,1,6,53,53,,SocSci
F,FirstYear,3.8,,620,,,,Female,64,7,California,Public,December,Right,4,15,7,0,12,13,8,Yes,Yes,120,100,Veg,No,Mac,iPhone,8,1,12,53,50,70000,SocSci
F,FirstYear,3.68,3.1,,,,,Female,64,8,Washington,Public,October,Right,4.75,15,9,12,14,2,10,No,Yes,0,0,Veg,No,Mac,iPhone,11,3,,38,38,,Fine Arts
D,FirstYear,3.8,3.75,,,,,Female,66,7.5,Oregon,Public,May,Right,4,20,7,,6,9,25,Yes,Yes,50,50,NoPref,No,Mac,iPhone,8,1,15,53,48,60000,SocSci
B,FirstYear,3.6,3,,,,,Male,70,10,California,Public,January,Right,5,20,8,9,20,9,,Yes,Yes,300,100,NoPref,No,Mac,iPhone,10,3,5,50,43,200,Business
