ID,Section,HSGPA,UPSGPA,SATM,SATR,SATW,ACT,Sex,Gender,Height,Weight,ShoeSz,Class,HSState,PubPriv,BirthMonth,Handedness,Shower,Work,Study,Exercise,CompLeisure,FinAid,TextAmt,TextPct,TextType,DietPref,Coffee,MacPC,Athlete,States,Siblings,OldestParent,YoungestParent,Shoes,Salary,Major
19244,B - Pickard (8 a.m.),4,3.67,,,,26,Female (XX),Female,68,135,8.5,Freshman,California,Public,January,Right,5,0,25,7,10,Yes,200,100,Purchased Used,Vegan or Vegetarian,Yes,Mac,Yes,15,1,53,53,7,,Social Science
19245,I - Thatcher (10 a.m.),3.9,,,,,,Female (XX),Female,64,,8,Junior,Washington,Public,February,Right,6,15,8,6,16,Yes,330,40,Purchased Used,No Preference,Yes,Windows(PC),No,14,0,58,56,6,45000,Science
19246,C - Gibson (12 noon),4,3.9,,,,26,Female (XX),Female,62,157,7.5,Freshman,New Mexico,Other,May,Right,20,9,25,5,7,Yes,100,60,Rented book,Other,No,Windows(PC),No,16,2,51,49,30,250000,Science
19247,F -Hieta-aho (2 p.m.),3.8,2.6,640,,580,,Male (XY),Male,70,205,10.5,Freshman,Washington,Public,January,Right,18,0,15,10,20,Yes,190,100,Purchased Used,No Preference,No,Windows(PC),Yes,7,4,38,36,8,40000,Science
19248,H - Paradise (2 p.m.),3.7,2.25,,,,,Male (XY),Male,76,165,12,Freshman,Oregon,Public,August,Right,5,0,25,15,30,Yes,50,100,Purchased New,No Preference,No,Mac,Yes,20,1,57,55,24,80000,Business
19249,G - Rushton (2 p.m.),3.81,3,620,,620,28,Male (XY),Male,72,210,12.5,Freshman,California,Public,May,Right,7,0,5,12,2,Yes,275,100,Purchased Used,No Preference,No,Mac,Yes,21,0,51,50,3,70000,Social Science
19250,G - Rushton (2 p.m.),3.4,3.09,520,600,600,,Female (XX),Female,66,150,9,Freshman,Arizona,Public,April,Right,15,0,9,5,5,Yes,80,100,Purchased Used,No Preference,Yes,Mac,Yes,15,1,57,53,15,70000,Social Science
19251,G - Rushton (2 p.m.),3.1,3,400,500,400,,Female (XX),Female,62,115,7,Freshman,Hawaii,Private,May,Right,20,,15,6,20,No,300,100,Borrowed from a Friend,No Preference,Yes,Mac,No,20,1,62,61,15,,UND
19252,C - Gibson (12 noon),3.7,3.1,,,,,Female (XX),Female,64,103,8,Junior,Washington,Public,May,Right,45,23,21,0,12,Yes,274,10,Other,No Preference,No,Windows(PC),No,13,2,26,53,31,55246,Fine Arts 
19253,F -Hieta-aho (2 p.m.),3.5,,600,740,,,Male (XY),Male,74,150,12.5,Freshman,Washington,Public,May,Right,15,9,9,9,9,Yes,33,100,Borrowed from a Friend,No Preference,No,Mac,Yes,14,1,53,50,5,120000,UND
19254,H - Paradise (2 p.m.),4,4,660,710,,,Male (XY),Male,70,150,10,Freshman,Washington,Public,January,Right,15,,10,10,8,Yes,80,75,Other,No Preference,No,Mac,Yes,15,1,47,46,18,60000,Business
19255,B - Pickard (8 a.m.),3.79,3.17,,,,30,Male (XY),Male,68,135,9,Freshman,Washington,Public,March,Right,5,7,15,10,7,Yes,430,100,Purchased Used,No Preference,No,Windows(PC),No,11,2,45,44,5,60000,Science
19256,B - Pickard (8 a.m.),3.5,3.25,,,,,Male (XY),Male,72,150,10.5,Freshman,California,Public,June,Right,20,0,12,24,4,Yes,130,100,Purchased Used,No Preference,No,Mac,Yes,16,1,50,48,10,60000,Business
19257,B - Pickard (8 a.m.),3.2,3,,,,21,Male (XY),Male,68,190,11,Freshman,Washington,Public,May,Right,15,,20,24,,Yes,200,90,Purchased Used,No Preference,No,Mac,Yes,10,4,61,47,15,60000,Business
19258,D - Rushton (12 noon),3.8,3.08,750,730,,34,Female (XX),Female,52,120,6,Freshman,Illinois,Public,November,Right,20,9,10,0,28,Yes,288,100,Purchased Used,No Preference,No,Mac,No,31,4,52,43,10,50000,UND
19259,E - Price (1 p.m.),2.7,1.9,600,550,550,,Male (XY),Male,73,205,13,Sophomore,California,Public,March,Right,20,0,20,30,10,Yes,350,3,Purchased Used,No Preference,No,Mac,Yes,10,1,63,60,15,60000,Social Science
19260,F -Hieta-aho (2 p.m.),3.2,3.6,510,700,,,Female (XX),Female,62,110,6,Freshman,Colorado,Public,December,Right,15,0,30,10,25,Yes,200,100,Borrowed from a Friend,No Preference,Yes,Mac,No,10,1,49,49,15,50000,Social Science
19261,F -Hieta-aho (2 p.m.),3.8,3.75,,,,28,Female (XX),Female,51,118,6,Freshman,California,Public,November,Right,15,0,10,10,10,Yes,300,100,Purchased Used,No Preference,No,Mac,Yes,5,3,80,60,20,25000,UND
19262,F -Hieta-aho (2 p.m.),3.7,3.55,560,,540,,Male (XY),Male,70,195,11.5,Freshman,California,Private,December,Ambidextrous (Both),20,0,35,42,63,Yes,200,25,Borrowed from a Friend,No Preference,No,Mac,Yes,13,0,56,52,25,50000,Business
19263,E - Price (1 p.m.),3.8,,,,,26,Female (XX),Female,63,130,8,Freshman,Louisiana,Other,February,Right,15,0,45,6,20,Yes,400,100,Purchased Used,No Preference,Yes,Windows(PC),No,7,2,43,42,12,20000,Social Science
19264,A - Dove (8 a.m.),3.7,2.8,,,,,Female (XX),Female,63,125,7.5,Freshman,Washington,Public,December,Right,25,9,15,3,10,Yes,235,100,Purchased Used,No Preference,Yes,Windows(PC),No,6,4,42,37,12,50000,Science
19265,G - Rushton (2 p.m.),3.7,2.9,720,600,580,26,Male (XY),Male,66,115,7.5,Freshman,Hawaii,Public,August,Right,15,30,5,0,6,Yes,200,100,Purchased Used,No Preference,No,Mac,No,5,1,47,44,3,75000,Fine Arts 
19266,F -Hieta-aho (2 p.m.),3.4,,500,300,300,,Female (XX),Female,63,145,8,Freshman,Georgia,Private,December,Right,20,0,10,8,4,Yes,130,100,Borrowed from a Friend,No Preference,Yes,Mac,Yes,28,1,51,50,10,30000,Humanities
19267,D - Rushton (12 noon),3.96,2.75,,,,,Male (XY),Male,70,193,11.5,Sophomore,California,Public,July,Right,11,11,7,10,5,Yes,400,50,Borrowed from a Friend,No Preference,Yes,Mac,Yes,5,3,56,53,1,50000,Humanities
19268,F -Hieta-aho (2 p.m.),3,2.77,,,,,Female (XX),Female,65,135,9,Freshman,California,Public,January,Right,10,,5,0,30,Yes,340,100,Purchased Used,Vegan or Vegetarian,Yes,Mac,No,18,1,57,55,8,40000,Humanities
19269,F -Hieta-aho (2 p.m.),3.1,2.45,,,,,Male (XY),Male,67,130,8,Freshman,Washington,Public,July,Right,30,8,8,5,,Yes,,,Other,No Preference,No,Mac,No,8,5,53,53,5,,UND
19270,F -Hieta-aho (2 p.m.),3.56,3.69,500,680,700,,Female (XX),Female,65,150,7,Freshman,Illinois,Private,May,Right,17,10,30,10,50,Yes,500,50,Purchased Used,No Preference,No,Mac,No,41,2,63,58,11,,UND
19271,E - Price (1 p.m.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19272,G - Rushton (2 p.m.),3.4,2.75,570,590,590,,Male (XY),Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19273,G - Rushton (2 p.m.),4,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19274,E - Price (1 p.m.),3,,,,,35,Female (XX),Female,63,104,8,Freshman,Colorado,Private,December,Right,10,,,,,,,,,,,,,,,,,,,
19275,C - Gibson (12 noon),3,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19276,I - Thatcher (10 a.m.),3.5,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
