country,region,lifeExpect1980,lifeExpect2000,physicians,waterUrban,waterRural,sanitationUrban,sanitationRural,underweight,stunting,HIVpercent,HIVchange,ART,tuberculosis,malaria,bedNets,healthCareTotal,healthCareGovt
Algeria,Middle East,60.5,69.7,85,92,80,99,82,6,18,0.1,32.4,,52,1,,169,127
Egypt,Middle East,56.5,68.8,212,100,97,84,56,11,21,0.1,9.1,,29,0,,153,75
IranIslamicRep,Middle East,59.7,70.3,105,98,83,86,78,11,15,0.1,72.2,100,29,32,,422,184
Iraq,Middle East,62.3,60.7,54,97,50,95,48,16,22,0.1,,,167,5,,97,31
Israel,Middle East,74.5,79.2,391,100,100,100,,,,0.1,,,10,,,1839,1273
Jordan,Middle East,63.7,71,205,91,91,94,85,5,8,0.1,0,21.3,5,,,412,194
Kuwait,Middle East,71.3,76.6,153,,,,,10,24,,,,26,,,612,482
Lebanon,Middle East,65.9,73.5,325,100,100,100,87,3,12,0.1,40,100,14,,,673,189
LibyarabJamahiriya,Middle East,62.2,72.8,129,72,68,97,96,5,15,0.3,,,21,,,239,134
Morocco,Middle East,58.3,68.7,48,99,56,83,31,9,24,0.1,,20.7,114,0,,199,78
Oman,Middle East,62.7,72.4,126,81,72,97,61,24,23,0.1,30,,12,24,,343,277
SaudiArabia,Middle East,62.6,72.3,140,97,,100,,14,20,,,,42,15,,591,441
SyriarabRep,Middle East,62.5,71.9,140,94,64,97,56,7,18,0.1,,,44,0,,427,187
Tunisia,Middle East,64.9,72.8,70,94,60,90,62,4,12,0.1,100,,23,,,463,350
Turkey,Middle East,62.3,70.5,124,96,87,94,62,8,16,,,,32,16,,294,209
UnitedArabEmirates,Middle East,68.6,74.7,202,,,100,100,14,17,,,,18,,,921,698
Yemen,Middle East,49.1,60,22,74,68,76,14,46,52,0.1,,,92,7600,,69,24
Angola,Africa,40,40.1,8,70,40,56,16,31,45,3.9,10,1,336,6594,2.3,70,44
Benin,Africa,49.2,50.6,6,79,60,58,12,23,31,1.9,5.1,2.5,86,11545,7.4,39,18
Botswa,Africa,62.8,39.7,29,100,90,57,25,13,23,37.3,0,7.9,657,2836,,381,252
BurkiFaso,Africa,46.1,45.7,4,82,44,45,5,34,37,4.2,8,1.4,157,619,6.5,27,16
Burundi,Africa,46.6,40.9,5,90,78,47,35,45,57,6,0,1.9,359,43505,1.3,19,11
Cameroon,Africa,50.7,46.2,7,84,41,63,33,21,35,6.9,4,1.5,188,2900,1.3,42,16
CentralAfricanRep,Africa,46.5,39.5,4,93,61,47,12,24,39,13.5,4.3,1,338,,1.5,58,30
Chad,Africa,42.3,44.7,3,40,32,30,,28,29,4.8,5.9,,222,4683,0.6,17,13
Congo,Africa,56.8,48.2,25,72,17,14,2,14,19,4.9,0,,395,5880,,22,14
CongoDemRep,Africa,47.1,41.8,7,83,,43,23,31,38,4.2,5.3,0,384,1414,0.7,12,5
CotedIvoire,Africa,50,41,9,,,61,23,21,25,7,10.4,2.7,412,2449,1.1,127,20
EquatorialGuinea,Africa,43.8,49.1,25,45,42,60,46,19,39,,,6.8,191,,0.7,106,64
Eritrea,Africa,43.3,52.7,3,72,54,34,3,44,38,2.7,0,1,268,5648,4.2,36,23
Ethiopia,Africa,42.7,45.5,3,81,11,19,4,47,52,4.4,16.7,1,370,621,,14,6
Gabon,Africa,56.3,56.6,29,95,47,37,30,12,21,8.1,21.6,,248,2148,,197,94
Gambia,Africa,44.1,54.1,4,95,77,72,46,17,19,1.2,0,6.3,230,10096,14.7,78,39
Gha,Africa,53.6,57.9,9,93,68,74,46,25,26,3.1,3.2,1.8,211,17143,4.5,60,36
Guinea,Africa,40.2,49.1,9,78,38,25,6,23,26,3.2,30,,215,75386,,61,33
Guinea-Bissau,Africa,39.1,45.3,17,79,49,57,23,25,30,,,,196,2421,7.4,37,20
Kenya,Africa,55.7,44.6,13,89,46,56,43,21,35,6.7,8.3,3,540,545,4.6,114,24
Lesotho,Africa,52,35.1,5,88,74,61,32,18,46,28.9,0,1,726,,,101,80
Liberia,Africa,44.9,41.4,2,72,52,49,7,26,39,5.9,20,,247,26699,,127,96
Madagascar,Africa,48,53.6,9,75,34,49,27,33,49,1.7,32.7,,234,,0.2,20,13
Malawi,Africa,45.7,37.5,5,96,62,66,42,25,49,14.2,5.2,1.8,431,20080,35.5,39,14
Mali,Africa,44.4,48.6,4,76,35,59,38,33,38,1.9,0,2.5,334,741,8.4,30,12
Mauritania,Africa,47.4,52.5,14,63,45,64,9,32,35,0.6,50.8,,188,9724,4.1,45,33
Mozambique,Africa,42.8,38.1,2,76,24,51,14,26,44,12.2,9.1,0,436,19842,,47,32
mibia,Africa,55.2,44.3,30,98,72,66,14,24,24,21.3,5.3,0,751,1502,3.4,342,232
Niger,Africa,40.7,46.2,3,80,36,43,4,40,40,1.2,25.5,,193,1693,5.8,22,9
Nigeria,Africa,48.1,51.5,27,72,49,48,30,36,43,5.4,6.5,1.5,304,30,1.2,31,7
Rwanda,Africa,46.1,39.3,2,92,69,56,38,27,41,5.1,4.5,1,389,6510,5,44,24
Senegal,Africa,46.3,52.9,8,90,54,70,34,23,25,0.8,7.9,1,242,11925,1.7,63,37
SierraLeone,Africa,35.3,34.2,7,75,46,53,30,27,34,,,0,405,8943,1.5,26,16
Somalia,Africa,43,47.9,4,32,27,47,14,26,23,,,,405,118,0.3,15,7
SouthAfrica,Africa,57.7,47.7,69,98,73,86,44,12,25,21.5,6.3,0,558,61,,652,270
Sudan,Africa,49.1,55.6,16,78,64,50,24,17,,2.3,26.7,1,217,12530,0.4,39,7
TanzaniaUnitedRep,Africa,51,43.3,2,92,62,54,41,29,44,8.8,7.1,1,363,1207,2.1,26,12
Togo,Africa,50.2,49.7,6,80,36,71,15,25,22,4.1,2.1,,361,9273,2,45,22
Uganda,Africa,47.2,46.2,5,87,52,53,39,23,39,4.1,13.5,6.3,377,46,0.2,57,33
Zambia,Africa,52,32.4,7,90,36,68,32,28,47,16.5,3.8,0,668,18877,6.5,52,28
Zimbabwe,Africa,59.6,33.1,6,100,74,69,51,13,27,24.6,0,0,683,5410,,142,64
Cada,North America,75.9,79.3,209,100,99,100,99,,,0.3,14.6,,6,,,2792,1977
UnitedStates,North America,74,77.1,549,100,100,100,100,1,2,0.6,5.6,,5,,,4887,2170
Belize,Central America,71.2,71.4,105,100,82,71,25,6,,2.4,25,7.7,55,475,,278,125
CostaRica,Central America,73.5,78.1,173,100,92,89,97,5,6,0.6,9.1,,15,33,,562,385
Cuba,Central America,73.4,76.7,591,95,78,99,95,4,5,0.1,3.1,,12,,,229,197
DominicanRep,Central America,62.8,66.7,188,98,85,67,43,5,6,1.7,2.3,0,95,12,,353,127
ElSalvador,Central America,56.6,70.7,124,91,68,78,40,12,23,0.7,16.7,,60,6,,376,176
Guatemala,Central America,58,65.8,90,99,92,72,52,24,46,1.1,13.8,46,77,307,1.2,199,96
Haiti,Central America,51.8,49.5,25,91,59,52,23,17,23,5.6,8.3,,319,119,,56,30
Honduras,Central America,60.8,68.9,83,99,82,89,52,17,29,1.8,22.9,1,86,365,,153,81
Jamaica,Central America,71.2,75.7,85,98,87,90,68,6,6,1.2,50,1,8,,,253,107
Mexico,Central America,67.5,73.4,171,97,72,90,39,8,18,0.3,6.7,92,33,5,,544,241
Nicaragua,Central America,59.3,69.5,164,93,65,78,51,10,20,0.2,12.7,0,64,201,,158,77
Pama,Central America,70.5,74.7,168,99,79,89,51,7,14,0.9,36.4,,47,32,,458,316
TrinidadandTobago,Central America,70.2,71.3,79,92,88,100,100,7,5,3.2,7.7,1,13,,,388,168
Argenti,South America,70,74.2,301,97,,,,5,12,0.7,0,91.2,46,1,,1130,603
Bolivia,South America,53.9,63.9,73,95,68,58,23,10,26,0.1,20,1,234,185,,125,83
Brazil,South America,63,68.1,206,96,58,83,35,6,11,0.7,4.8,100,62,225,,573,238
Chile,South America,70.6,76.1,109,100,59,96,64,1,2,0.3,4,,18,,,792,348
Colombia,South America,66.6,72.2,135,99,71,96,54,7,14,0.7,50,,45,482,0.7,356,234
Ecuador,South America,64.3,70.8,148,92,77,80,59,15,27,0.3,5.3,,137,846,,177,89
Guya,South America,61,63.2,48,83,83,86,60,14,11,2.5,0,0,115,3554,5.5,215,172
Paraguay,South America,67.1,70.9,117,100,62,94,58,5,11,0.5,50,50,70,48,,332,127
Peru,South America,61.4,69.8,117,87,66,72,33,7,25,0.5,56.9,19.2,202,305,,231,127
Surime,South America,67.1,71.1,45,98,73,99,76,13,10,1.7,25,,68,4075,2.7,398,240
Uruguay,South America,70.8,75.3,365,98,93,95,85,5,8,0.3,5.5,50.5,29,,,971,450
Venezuela,South America,68.6,73.7,194,85,70,71,48,5,13,0.7,40.8,,42,81,,386,240
Australia,Oceania,75.2,79.2,249,100,100,100,100,,,0.1,16.7,53.2,6,,,2532,1719
Fiji,Oceania,64.7,69.8,34,,,99,98,8,3,0.1,20,,30,,,224,150
NewZealand,Oceania,73.7,78.3,223,100,,,,,,0.1,16.7,,11,,,1724,1324
PapuaNewGuinea,Oceania,49.7,57.6,5,88,32,67,41,35,,0.6,60,0,254,1793,,144,128
SolomonIslands,Oceania,60.6,69.2,13,94,65,98,18,21,27,,,,91,16512,,133,124
